T1C1,T1C2,T1C3,T1C4,T1C5,T2C1,T2C2,T2C3,T2C4,T2C5,GD
Shen,Trundle,Ahri,Jhin,Hwei,Darius,Skarner,Kassadin,Kaisa,Morgana,-2448
Sett,Skarner,Ahri,Caitlyn,Pyke,Garen,Amumu,Cassiopeia,Jhin,Morgana,-8477
Olaf,Amumu,Ahri,Jhin,Morgana,Riven,LeeSin,Lux,Twitch,Nami,-9057
Smolder,Kayn,Sett,Caitlyn,Veigar,Garen,Diana,Viego,Karthus,Poppy,-11346
Kennen,Amumu,Malphite,Draven,Soraka,Yorick,Ekko,Kayle,Senna,Thresh,20752
Yorick,Diana,Yasuo,Lucian,Nami,Irelia,Vi,Fizz,Caitlyn,Morgana,-11204
Renekton,MasterYi,Viktor,Vayne,Lux,Yorick,Lucian,Ahri,Briar,Morgana,-8312
Rumble,Poppy,Ahri,Jinx,Ashe,Gangplank,Warwick,Lissandra,MissFortune,Skarner,-11624
Illaoi,Nocturne,AurelionSol,KogMaw,Bard,Trundle,MasterYi,Ahri,Kaisa,Leona,-7889
Malphite,DrMundo,Ahri,Caitlyn,Heimerdinger,Yorick,Vi,Varus,Kalista,Skarner,6659
Camille,Kayn,Malzahar,Twitch,Yuumi,Illaoi,Skarner,Ahri,Draven,Pantheon,-15936
Tryndamere,Vi,Velkoz,Ashe,Lux,Yorick,Amumu,Ahri,Lucian,Pyke,-14858
Tryndamere,MasterYi,Vladimir,Vayne,Zilean,Garen,Amumu,Ahri,Ziggs,Zyra,7908
Darius,Chogath,Zed,Draven,Hwei,Tryndamere,Viego,Ahri,Senna,Soraka,8882
Malphite,Graves,Veigar,MissFortune,Nautilus,Vayne,Kindred,Ahri,Lucian,Thresh,-8874
Yone,MasterYi,Xerath,Senna,Nautilus,Chogath,Kayn,Ahri,Caitlyn,Anivia,-5977
Trundle,JarvanIV,Yasuo,Ziggs,Zyra,TahmKench,Udyr,Ahri,Lucian,Brand,-5192
Kayle,Nunu,Veigar,Jhin,Shaco,Nautilus,Nocturne,Ahri,KogMaw,Morgana,-6832
Malphite,Udyr,Ahri,Caitlyn,Lux,Kayle,Rengar,Viktor,Kaisa,Yuumi,6454
Heimerdinger,XinZhao,Gragas,Jhin,Teemo,Poppy,Zed,Ahri,Ashe,Renata,7682
Rumble,Udyr,Kalista,Ashe,Nautilus,Sett,Zed,Sylas,Tristana,Pyke,-16458
Poppy,Evelynn,Ahri,Kayle,Shaco,Trundle,Chogath,Ezreal,KogMaw,Nami,4672
Nasus,Viego,Hwei,Caitlyn,TahmKench,Illaoi,Elise,Brand,Ashe,Maokai,9710
Trundle,Sejuani,Veigar,Vayne,Lux,Urgot,LeeSin,Skarner,Ashe,Hwei,9776
Yasuo,Belveth,AurelionSol,Lucian,Nami,KSante,Lillia,Viego,Aphelios,Yuumi,8364
Mordekaiser,Amumu,Katarina,RekSai,Yasuo,Varus,TwistedFate,Nocturne,Akali,Soraka,22056
Nasus,Naafiri,Veigar,Tristana,Lux,Garen,Briar,Akali,Kaisa,Alistar,9775
KSante,Nunu,Diana,Jhin,Blitzcrank,Mordekaiser,LeeSin,Malphite,Twitch,Seraphine,3691
Garen,Viego,Annie,Twitch,Lux,Darius,Lillia,Diana,Sivir,Brand,-8214
Garen,Kayn,AurelionSol,Jhin,Poppy,DrMundo,Brand,Annie,Samira,Lux,11846
Garen,Kayn,Sylas,Aphelios,Lux,Yone,Viego,Azir,Jhin,TahmKench,-9165
Pantheon,Ivern,Katarina,Samira,Nautilus,Renekton,Poppy,Swain,Ashe,Janna,9431
Jax,Nocturne,Nasus,MissFortune,Zyra,Sylas,Briar,Yone,Aphelios,Soraka,-4746
