Akali,Kayn,Irelia,Vayne,Velkoz,Singed,Ivern,Naafiri,Cassiopeia,Renata,13777,100,NA1_4906432790,1621
Malphite,Warwick,Veigar,Draven,Blitzcrank,Riven,Kayn,Akali,Jinx,Morgana,-9984,200,NA1_4997286927,1774
Kennen,JarvanIV,Yasuo,Xayah,Rakan,KSante,Brand,Tristana,Samira,Nautilus,4736,100,NA1_4996424129,981
Camille,Viego,Ryze,Jinx,Zyra,Ornn,Brand,Leblanc,Varus,Xerath,-9522,200,NA1_4991913620,1874
Mordekaiser,XinZhao,Neeko,Soraka,Twitch,Ornn,Nocturne,AurelionSol,Smolder,Milio,-14062,200,NA1_4996780043,1729
Urgot,Kindred,KSante,Ezreal,Lux,Shen,Kayn,Heimerdinger,KogMaw,Brand,-4838,200,NA1_4986616347,2002
Illaoi,Singed,TwistedFate,Ashe,Janna,Camille,Naafiri,Tristana,Ezreal,Blitzcrank,14206,100,NA1_4994040347,1532
Riven,Shen,Anivia,Lucian,Nami,Sion,Nidalee,AurelionSol,Samira,Janna,12450,100,NA1_4998565356,1620
Volibear,RekSai,Lissandra,Tristana,Leona,Sion,Nunu,Yasuo,Jinx,Soraka,9450,100,NA1_4961096995,1108
Akali,Rammus,Yorick,Senna,Karma,Garen,Udyr,Irelia,TwistedFate,Leona,14700,100,NA1_4930270113,1593
KSante,Kindred,Ahri,MissFortune,Lulu,Garen,Lillia,Talon,Jinx,Sona,-12572,200,NA1_4895579622,1497
Garen,Karthus,Yasuo,Caitlyn,Amumu,Mordekaiser,Udyr,Twitch,Ashe,Brand,-1132,100,NA1_4986660104,2366
Quinn,Mordekaiser,Kayle,Caitlyn,Alistar,Sion,Briar,Viktor,Soraka,Gragas,3404,100,NA1_4989537218,2141
Cassiopeia,Khazix,Yasuo,Samira,Braum,Yone,Graves,Sylas,Vayne,Bard,-2165,200,NA1_4982131326,2540
Sett,Diana,Naafiri,Vayne,Camille,Gwen,Briar,Pantheon,Lucian,Nami,-2156,200,NA1_4993658854,2144
Teemo,Skarner,LeeSin,Vayne,Leona,Darius,Belveth,Pantheon,Twitch,Janna,5946,100,NA1_4975604876,801
Nasus,Diana,Zed,MissFortune,Nami,Mordekaiser,Warwick,Akshan,Caitlyn,Lux,13373,100,NA1_4996729490,1732
Chogath,Viego,Leblanc,Samira,Darius,Illaoi,Sylas,Ahri,Twitch,Lulu,-9519,200,NA1_4984962498,1919
Udyr,Amumu,Vex,MissFortune,Janna,Warwick,Viego,Lux,Samira,Nautilus,5210,100,NA1_4898976434,1767
Kayle,Ivern,Veigar,Janna,Senna,Poppy,XinZhao,Heimerdinger,Caitlyn,Soraka,-17065,200,NA1_4997107469,1918
Fiora,Briar,Karthus,Smolder,Soraka,Urgot,LeeSin,TwistedFate,Aphelios,Brand,-1886,100,NA1_4991895719,2053
Nasus,MasterYi,Syndra,Ezreal,Poppy,Ornn,LeeSin,Hwei,Kaisa,Thresh,3358,100,NA1_5000579600,2220
Mordekaiser,Karthus,Yone,Ezreal,Thresh,Jinx,Briar,Pantheon,Ashe,Brand,-431,200,NA1_5000033788,2376
Sion,Briar,Anivia,Smolder,Seraphine,Nasus,Nunu,Nautilus,Caitlyn,Lux,10332,100,NA1_5000670889,1796
Malphite,Nunu,Varus,Ahri,Pyke,Singed,Diana,Jayce,Samira,Taric,-6662,200,NA1_4947581212,1854
Jax,Gwen,Yasuo,MissFortune,Zyra,Yorick,MonkeyKing,Ahri,Kaisa,Thresh,10942,100,NA1_4983031136,1909
Garen,Amumu,Lux,Jhin,Zyra,Heimerdinger,FiddleSticks,Taliyah,Caitlyn,Nautilus,5564,100,NA1_5000926966,2476
Malphite,Karthus,Galio,Kaisa,Zyra,Garen,Sylas,Zed,Samira,Sona,4821,100,NA1_4999368909,1948
Darius,Udyr,Zed,MissFortune,Pyke,Nasus,Diana,Annie,Caitlyn,Milio,2605,100,NA1_4997331363,514
Jax,Elise,Sett,Jinx,Yuumi,Camille,Kayn,Vex,Smolder,Rakan,-12117,200,NA1_4996900980,1466
Singed,Volibear,Anivia,Varus,Ashe,DrMundo,Mordekaiser,Malzahar,Ezreal,Lux,6705,100,NA1_4995941951,2113
Nasus,Lillia,Yone,Jhin,Bard,Singed,Nidalee,Ekko,Aphelios,Pantheon,8417,100,NA1_4950085429,2039
Sett,Zed,Hwei,Ezreal,Janna,Trundle,Viego,Akshan,Sivir,Seraphine,-11874,200,NA1_4989515124,1560
Nasus,Briar,Brand,Sivir,Rakan,Illaoi,Vi,Leblanc,Samira,Shen,-7021,200,NA1_5001265837,2097
Shen,Viego,TwistedFate,Smolder,Milio,Urgot,MasterYi,Hwei,Sivir,Brand,-3848,200,NA1_4993056295,1818
KSante,Shen,Fizz,Caitlyn,Lux,DrMundo,LeeSin,Orianna,Jhin,Xerath,2648,100,NA1_5000728344,2200
Nasus,Rumble,Fizz,Jinx,Braum,Jax,Lillia,Zed,Twitch,Nautilus,4913,100,NA1_5001494189,2043
Tryndamere,Evelynn,Shen,Jinx,Anivia,Garen,Jax,Yone,Twitch,Seraphine,6045,100,NA1_4994965047,2567
Yorick,Kayn,Malphite,Kaisa,Lux,Darius,Maokai,Annie,MissFortune,TahmKench,9903,100,NA1_4996482586,1600
Urgot,Elise,Yasuo,Smolder,Leona,Quinn,Shaco,Aatrox,Ziggs,Janna,11346,100,NA1_4944072579,1937
Malphite,Viego,Akali,Ezreal,Velkoz,Aatrox,Amumu,Katarina,Jhin,Karma,9809,100,NA1_4681199463,1370
Briar,Belveth,Kayle,Ashe,Hwei,Aatrox,Rammus,Fizz,Kalista,Maokai,-4798,200,NA1_4908912607,2465
Gnar,Udyr,Gragas,Twitch,Skarner,Irelia,Warwick,Xerath,TwistedFate,Sona,-8292,200,NA1_4978522980,1858
Nasus,Zac,Hwei,Jinx,Braum,Sett,Ivern,Vex,Lucian,Milio,9280,100,NA1_5000768913,1124
