T1C1,T1C2,T1C3,T1C4,T1C5,T2C1,T2C2,T2C3,T2C4,T2C5,W1,W2,W3,W4,W5,GD,WL
TahmKench,Diana,Yasuo,Kaisa,Blitzcrank,Jayce,Trundle,Zed,Ezreal,Senna,53.04,50,50,53.43,56.38,4142,100
Darius,Diana,Galio,Nilah,Thresh,Yorick,Maokai,Yasuo,Caitlyn,Nautilus,42.5,50,51.52,50.0,51.35,9503,100
Riven,Shaco,Anivia,Jhin,Blitzcrank,Illaoi,Kayn,Lux,MissFortune,Taric,51.3,51.64,50.0,51.57,51.25,-5447,200
Urgot,MasterYi,Qiyana,Smolder,Janna,TahmKench,Viego,Katarina,Kalista,Ornn,53.97,48.52,53.64,47.9,50,-14742,200
Riven,Evelynn,Akali,Ashe,Belveth,Tryndamere,Brand,Zed,Kaisa,Nautilus,43.17,48.46,53.29,50,50,-6136,200
Olaf,Ivern,Malphite,Smolder,Alistar,Heimerdinger,Skarner,Diana,Tristana,Thresh,50,57.06,46.55,38.69,49.59,10523,100
MonkeyKing,Evelynn,Graves,Samira,Blitzcrank,Yone,Shaco,Diana,Aphelios,Maokai,51.43,47.28,50,55.32,50.0,9122,100
Quinn,Shaco,Ahri,Caitlyn,Thresh,DrMundo,LeeSin,Syndra,Varus,Zilean,55.36,55.47,49.26,51.69,50.75,10020,100
Camille,Brand,Pantheon,Ashe,Shaco,KSante,Graves,Fizz,MissFortune,Thresh,57.62,47.19,50.98,51.89,51.59,13578,100
Trundle,Viego,Fizz,Samira,Gragas,Illaoi,Zac,Annie,MissFortune,Lux,49.35,49.58,56.82,50.34,50,-8139,200
Gragas,MasterYi,Sion,Ashe,Zyra,Riven,Amumu,Akshan,Jinx,Thresh,56.61,48.41,50,49.97,49.84,10927,100
Yone,Ekko,Akali,Irelia,Soraka,TahmKench,Viego,Vex,Ashe,Milio,55.88,53.46,41.24,50,51.04,-7136,200
Jax,Amumu,Akali,Caitlyn,Rakan,Darius,Diana,Malphite,Twitch,Soraka,47.95,51.77,49.1,50.76,50.26,-12518,200
Teemo,Hecarim,Velkoz,Ashe,Pyke,Gwen,Vi,Hwei,Twitch,Karma,54.17,53.46,53.9,47.72,56.21,-7225,200
Sett,Briar,Vex,Samira,Neeko,Swain,Lillia,Syndra,Lucian,Senna,50,50.81,51.39,50.68,53.42,-7486,200
Mordekaiser,Diana,Yasuo,Jinx,Pyke,Olaf,Nunu,Ahri,Ashe,Senna,46.54,53.42,50,50.01,55.26,-8945,200
Teemo,Vi,Ekko,Sivir,Pyke,Ryze,Kindred,Sylas,Smolder,Zyra,59.38,46.23,45.83,60.87,52.92,-5546,200
Yone,LeeSin,Neeko,Kaisa,Nautilus,TwistedFate,Viego,Viktor,Jinx,Leblanc,53.77,48.98,53.73,46.28,50,-11407,200
Tryndamere,Volibear,Yorick,Kaisa,Nautilus,Renekton,Evelynn,Lux,Jinx,Yuumi,57.53,44.94,50,46.28,59.24,-11603,200
Kayle,RekSai,AurelionSol,Tristana,Maokai,Darius,Brand,Yone,Caitlyn,Zyra,55.33,50.87,45.16,47.4,48.46,12085,100
Kled,Udyr,Ziggs,Caitlyn,Ashe,Varus,Viego,Nami,Smolder,Ahri,50,52.2,50,56.97,50,2466,100
Riven,Trundle,Seraphine,Caitlyn,Shen,Gangplank,Skarner,Lux,Tristana,Swain,52.12,29.73,44.62,52.28,50,1566,100
Trundle,Udyr,Ekko,Caitlyn,Karma,Mordekaiser,Amumu,Yasuo,MissFortune,Pyke,46.94,52.94,51.22,50.76,43.79,8753,100
Shen,Ivern,Zed,Jhin,Lulu,Aatrox,Lillia,Fizz,Ashe,Thresh,52.34,53.02,53.11,49.71,47.45,3756,100
Darius,MasterYi,Sylas,MissFortune,Maokai,Trundle,Ekko,TwistedFate,Zeri,Yuumi,57.47,44.38,50.77,47.27,52.63,11852,100
Jax,Viego,Lux,Samira,Leona,Trundle,Zac,Ahri,Vayne,Nautilus,59.62,49.58,51.34,53.0,53.71,-98,200
Trundle,Graves,Kassadin,Ashe,Senna,Urgot,Taliyah,Tristana,Caitlyn,Lux,60.18,45.17,46.19,51.28,49.4,837,100
Sett,Shaco,Rumble,Lucian,Thresh,Gragas,Nocturne,Ziggs,Aphelios,Braum,45.53,49.86,50,53.19,48.34,5943,100
Mordekaiser,Viego,Cassiopeia,KogMaw,Lulu,Renekton,LeeSin,AurelionSol,MissFortune,Janna,52.13,50.99,53.53,53.73,49.54,13749,100
Garen,RekSai,Fizz,Twitch,Lulu,Kayn,Udyr,Hwei,Draven,Pantheon,50,53.85,49.91,48.85,50.6,5564,100
Mordekaiser,LeeSin,Lissandra,Ashe,Soraka,Vayne,Vi,Yasuo,Ezreal,Yuumi,43.72,47.62,55.12,57.91,45.75,-10939,200
Mordekaiser,Vi,Akali,Yasuo,Alistar,Malphite,Graves,Azir,Vayne,Gragas,55.05,51.15,54.25,50,50,3359,100
Sett,Evelynn,AurelionSol,Ashe,Xerath,KSante,Kayn,Vex,Caitlyn,Lux,54.98,52.11,51.76,51.28,51.47,-4033,200
Aatrox,Maokai,Viktor,Kaisa,Seraphine,Kayle,Vi,Kassadin,Veigar,Amumu,50.39,47.73,48.95,50,50,-16742,200
Jayce,Rengar,Akshan,KogMaw,Sona,Aatrox,Graves,Diana,Lucian,MissFortune,51.16,52.64,49.76,52.16,50,11381,100
Olaf,Poppy,Taliyah,Jinx,Janna,Rumble,Gragas,Corki,Smolder,Shen,49.22,51.8,52.39,59.93,50,5197,100
Urgot,Karthus,Sylas,Senna,Zilean,Jax,Viego,Ahri,KogMaw,Zyra,53.51,52.5,51.64,50,50,3776,100
Sett,Karthus,Katarina,MissFortune,Lux,TahmKench,Darius,Taliyah,Varus,Morgana,47.27,50,53.72,50.53,53.6,-16195,200
Sett,Hecarim,Renekton,Caitlyn,Leona,Aatrox,Karthus,Sylas,KogMaw,Senna,52.26,49.13,50.7,50.68,55.66,-837,200
Skarner,Shaco,Vladimir,Kaisa,Pyke,Mordekaiser,Diana,Ahri,Tristana,Thresh,50.41,51.19,54.04,49.06,50.52,13602,100
Mordekaiser,Viego,Tristana,Smolder,Brand,Akshan,Warwick,Vex,Jhin,Pyke,50.77,45.47,48.97,43.45,45.25,-5585,200
Jax,Vi,Zed,Samira,Milio,Kayle,XinZhao,Katarina,Ezreal,Lux,50.12,45.65,56.68,52.62,53.52,-2192,200
Sion,Vi,Syndra,Jinx,Lux,Mordekaiser,MasterYi,Irelia,Caitlyn,Brand,47.41,51.85,49.62,51.09,58.11,-1701,200
Gragas,Khazix,Leblanc,Vayne,Lux,Trundle,Nocturne,Ryze,Ashe,Nautilus,57.69,43.38,49.26,47.64,48.78,-11694,200
Garen,Nocturne,Hwei,Ahri,Pyke,Riven,Warwick,Malphite,Caitlyn,Karma,49.13,42.11,50.81,64.52,56.21,-12236,200
Jax,Poppy,Orianna,MissFortune,Ashe,Yorick,Rammus,Vex,Draven,Janna,48.87,38.89,51.97,54.09,50.82,12063,100
Riven,Khazix,Malzahar,Caitlyn,Renata,Orianna,Nocturne,Lissandra,Jhin,Pyke,50,43.38,52.53,48.52,48.15,-6985,200
Zac,Udyr,Lux,Jhin,Thresh,Irelia,MasterYi,Fizz,Draven,Morgana,50.0,52.21,50.2,53.8,50.97,-17504,200
Garen,Ekko,Kalista,Jhin,Soraka,Vayne,Kayn,Mordekaiser,Ezreal,Brand,43.21,51.76,50,56.18,55.94,-12068,200
Shen,Warwick,AurelionSol,Jinx,Thresh,Darius,Shaco,Hwei,Ashe,MissFortune,52.03,45.2,46.86,50.01,50,6763,100
Sett,Pantheon,Malzahar,Yasuo,Lulu,Warwick,Diana,Yone,Caitlyn,Pyke,47.9,50.0,47.25,50,47.92,8418,100
Illaoi,Rengar,Ekko,Ezreal,Alistar,Garen,Elise,Qiyana,Kaisa,Lux,47.21,46.34,56.57,50,50.34,-5811,200
Teemo,Kayn,Ahri,Kaisa,Ivern,Shen,Kindred,Kennen,Smolder,Lux,46.08,39.91,54.4,55.15,50,10938,100
Nasus,Gragas,Kassadin,Jinx,Soraka,Illaoi,Skarner,Viktor,Jhin,Leona,48.54,52.6,51.05,51.13,48.35,8872,100
Yorick,MasterYi,TwistedFate,Smolder,Ashe,Malphite,Nocturne,Katarina,Jhin,Soraka,53.1,45.6,51.41,43.45,51.0,-1654,100
KSante,MasterYi,Taliyah,Caitlyn,Morgana,Chogath,Udyr,Ekko,Tristana,Thresh,50,47.79,47.03,52.28,48.94,14867,100
Gangplank,MasterYi,TwistedFate,Draven,Hwei,Riven,Jax,Sylas,Jhin,Lulu,47.46,49.21,49.23,46.21,47.23,-4999,200
Gnar,LeeSin,Karma,Ashe,Swain,Illaoi,Warwick,Ahri,Twitch,Lulu,46.3,47.33,43.64,47.72,42.98,8332,100
Mordekaiser,Shyvana,Syndra,Smolder,Neeko,Akali,Kindred,Sylas,Draven,Lux,51.54,46.39,49.22,46.73,51.6,8979,100
Malphite,Volibear,Ahri,Aphelios,Karma,DrMundo,XinZhao,Sylas,Ashe,Hwei,42.27,47.21,48.48,45.15,56.8,-12005,200
Akali,Jax,Annie,Caitlyn,Nautilus,Garen,Diana,Sylas,Jinx,Seraphine,42.03,51.96,44.44,48.87,47.33,6774,100
Kayle,Udyr,Sylas,Kaisa,Braum,Volibear,Kayn,Tristana,Aphelios,Nami,55.08,50.43,52.22,50.78,49.21,-6906,200
Urgot,Ekko,Graves,Vayne,Nami,Tryndamere,Vi,Irelia,Kaisa,Bard,46.39,52.51,50,50,49.31,2146,100
Talon,Sejuani,Yasuo,Caitlyn,Maokai,DrMundo,Kindred,Fizz,Xayah,Karma,50,47.09,50,50.82,54.88,14728,100
Darius,Khazix,Malzahar,Kaisa,Braum,Neeko,LeeSin,Akali,Caitlyn,Brand,50,50.64,50.76,48.66,54.26,-7459,200
DrMundo,MasterYi,Lux,Seraphine,Ashe,Tryndamere,Shen,Ahri,KogMaw,Pantheon,42.39,50,51.34,61.11,46.34,2779,200
Trundle,Khazix,TwistedFate,Smolder,Sona,Kayle,Nidalee,Corki,Twitch,Milio,47.25,45.83,55.24,47.95,52.51,6991,100
Sett,LeeSin,Diana,MissFortune,Maokai,Riven,Brand,Akali,Caitlyn,Soraka,48.11,45.55,51.19,49.28,47.26,8917,100
Gnar,Nunu,Azir,Caitlyn,Pyke,Chogath,Maokai,Ezreal,Jhin,Taric,50,50,50,48.52,50.57,18376,100
Jax,Kayn,Diana,Sivir,Janna,Mordekaiser,Hecarim,TwistedFate,Kaisa,Leona,46.63,47.51,46.86,50,49.62,-13856,200
Riven,Hecarim,Ahri,Smolder,Blitzcrank,Renekton,Belveth,Azir,Samira,Shaco,48.75,50,54.76,43.34,53.5,16514,100
Mordekaiser,Brand,Anivia,Twitch,Rell,Trundle,Vi,Zed,Varus,Blitzcrank,53.06,53.97,49.79,52.49,50.56,2796,100
Yorick,Karthus,Syndra,Caitlyn,Lulu,Illaoi,Viego,Sylas,MissFortune,Milio,46.49,52.5,49.22,50.76,49.48,12559,100
Chogath,Lillia,Naafiri,MissFortune,Blitzcrank,Irelia,Shaco,Ekko,Ashe,Rakan,46.08,50.44,50,48.11,44.53,-7914,200
Viego,Ekko,Mordekaiser,Jinx,Rakan,Darius,Volibear,Jhin,Diana,Thresh,49.29,44.97,50,50,53.97,-9885,200
DrMundo,Viego,TwistedFate,MissFortune,Poppy,Warwick,XinZhao,Brand,Varus,Lulu,41.38,50.59,49.9,50.53,50.95,-12407,200
Gragas,Rengar,Anivia,Jinx,Zyra,Akshan,Nunu,Brand,Draven,Lux,48.53,41.55,49.18,54.88,47.12,14262,100
Teemo,Ivern,Ahri,Twitch,Nami,Malphite,Nocturne,Sylas,Smolder,Lux,48.43,55.65,48.48,52.05,50.86,5610,100
Naafiri,Shyvana,Irelia,Tristana,Senna,Urgot,Kayn,Kennen,Caitlyn,Ashe,50,45.53,54.9,47.4,52.62,9203,100
Renekton,Shaco,Zed,Smolder,Bard,Aatrox,Hecarim,Fizz,Aphelios,Taliyah,50.84,51.83,53.11,46.76,50,-6173,200
Irelia,Viego,Hwei,Jhin,Nautilus,Gwen,Belveth,Ahri,Lucian,Brand,54.29,50,49.53,50.95,52.25,14606,100
Ornn,Karthus,Tristana,Jinx,Lux,Kled,Kayn,Naafiri,KogMaw,Karma,42.2,49.56,47.52,52.24,48.05,-13637,200
Kennen,Viego,Irelia,Ashe,Soraka,Tryndamere,Trundle,Sion,Jinx,Vayne,52.5,50,50,49.97,50,9761,100
Darius,Diana,Ahri,Xayah,Rakan,Shaco,Kayn,Irelia,Brand,Skarner,50,52.08,49.59,49.25,38.71,6560,100
Kayle,Briar,AurelionSol,Caitlyn,Camille,Pantheon,Brand,Fizz,Kaisa,Pyke,48.98,49.04,47.36,50,49.24,1101,100
Darius,Skarner,Vladimir,Ezreal,Swain,Volibear,Warwick,Lux,Twitch,Leona,49.42,52.94,43.88,43.84,46.79,-11434,200
Renekton,Hecarim,Vex,Vayne,Thresh,Akali,Ekko,Zed,Twitch,Yuumi,55.61,47.39,52.41,49.83,55.86,5967,100
Urgot,Kayn,Briar,Ezreal,Sylas,Singed,MasterYi,Ahri,Jhin,Thresh,53.23,43.85,50,43.79,50.86,-157,100
Veigar,Nocturne,Gangplank,Varus,Alistar,DrMundo,Mordekaiser,Yasuo,Jinx,Senna,50,50,40.35,45.43,46.28,12267,100
Nasus,Volibear,Akali,Jhin,FiddleSticks,Illaoi,Khazix,Yone,Kaisa,Senna,48.54,50,54.1,50,50,5262,100
Nasus,Warwick,Diana,Veigar,Lux,Yone,Shyvana,Nunu,Jinx,Sion,52.15,58.0,50,45.61,50,-10159,200
Yone,Warwick,Yasuo,Kaisa,Zyra,Aatrox,Zed,Fizz,Jhin,Senna,48.78,50,50,49.01,57.34,11689,100
Volibear,Rammus,Yasuo,Zeri,Zac,Shen,Jax,AurelionSol,Vayne,Milio,47.76,64.0,50,43.55,47.75,11680,100
Urgot,Ekko,Orianna,Twitch,Blitzcrank,Rengar,Kayn,Veigar,Ashe,Morgana,50,51.76,45.39,52.28,52.16,-14070,200
Sett,Viego,TwistedFate,Ashe,Alistar,Tryndamere,FiddleSticks,Kassadin,Samira,Maokai,48.48,50,52.01,53.98,52.92,1611,100
Illaoi,Sylas,Cassiopeia,Ashe,Renata,Kled,LeeSin,Zoe,Draven,Pyke,46.81,48.19,50.54,53.96,48.15,-9711,200
Fiora,Zac,AurelionSol,Kaisa,Nami,KSante,Hecarim,Vladimir,Zeri,Soraka,59.62,53.42,54.44,50.94,50.97,10010,100
Sion,Viego,Nasus,AurelionSol,Leona,Vayne,RekSai,Yone,Ziggs,Rakan,49.79,47.93,36.84,50,48.67,-7055,100
Briar,Mordekaiser,Fizz,Ashe,Nami,Volibear,Hecarim,Kassadin,Samira,Karma,50,50,48.26,53.98,50.46,-10546,200
Fiora,Hecarim,Ryze,Jinx,Soraka,Poppy,XinZhao,Yasuo,Varus,Nautilus,46.1,50.41,49.1,54.57,52.31,4911,100
Poppy,Gragas,Zed,Kaisa,Hwei,Shen,Briar,Malzahar,Ashe,Lulu,51.82,51.94,50.86,46.48,47.23,-11842,200
Urgot,Skarner,Katarina,Nilah,Lux,Garen,Amumu,Hwei,Aphelios,Blitzcrank,54.05,51.25,52.02,51.31,42.32,8511,100
Aatrox,Belveth,Neeko,Draven,Milio,Illaoi,RekSai,Hwei,Samira,Morgana,47.15,44.89,46.6,47.07,57.2,-8982,200
Poppy,Udyr,Yasuo,Twitch,Morgana,Kayle,MasterYi,Yone,Sivir,Lulu,50.36,52.21,50,60.79,49.81,-4528,200
Ornn,Jax,Ahri,Caitlyn,Sona,Aatrox,JarvanIV,Veigar,Twitch,Janna,50.17,45.18,50.79,50.76,52.05,6585,100
Kled,Belveth,Xerath,Jinx,Milio,Gangplank,Skarner,Taliyah,Zeri,Thresh,49.07,40.17,53.43,53.92,47.61,10748,100
Garen,Lillia,Pantheon,Jhin,Leona,Sett,Zac,Zed,Kalista,Janna,49.79,56.61,49.23,52.0,50.25,11160,100
Sett,Warwick,Tryndamere,Vayne,Thresh,DrMundo,Evelynn,Yasuo,Ashe,Janna,56.73,56.99,55.13,47.64,51.71,8630,100
Yone,Morgana,Hwei,Jhin,Nautilus,Teemo,Zac,Ryze,Jinx,Renata,48.15,53.13,50.74,48.85,50,-4097,200
Varus,Olaf,Sylas,Jhin,Maokai,Skarner,Taric,Yone,Ashe,Nautilus,48.08,50,53.98,49.71,47.61,-2748,200
Darius,Khazix,Akali,Ezreal,Blitzcrank,Riven,Zed,Malzahar,Jhin,Leona,43.65,51.61,49.51,43.79,47.21,-12801,200
Tryndamere,Sejuani,Hwei,Veigar,Nami,Garen,Viego,Fizz,MissFortune,Morgana,55.79,49.39,50.09,57.58,55.35,-4355,200
Garen,Warwick,Katarina,Jinx,Renata,Camille,Graves,Veigar,Xayah,Janna,41.76,55.07,51.18,53.11,48.9,-9030,200
Kled,Jax,Heimerdinger,Aphelios,Thresh,Garen,Shaco,Sylas,Lucian,Nami,53.37,46.79,55.17,46.72,50.11,7650,100
Aatrox,Briar,Annie,KogMaw,Maokai,Trundle,Hecarim,Hwei,Samira,Nautilus,49.51,50.29,52.37,51.87,47.61,4162,100
Garen,Warwick,Neeko,Veigar,Brand,Sion,Viego,Yone,Tristana,Xerath,52.61,54.53,57.83,50,46.19,-7367,200
Sett,Hecarim,Malzahar,MissFortune,Nautilus,Chogath,Trundle,Syndra,Caitlyn,Alistar,50,50,48.08,49.28,45.11,10370,100
Sett,Rammus,Ahri,Caitlyn,Teemo,Darius,Lillia,Diana,Jhin,Brand,53.02,42.81,49.3,48.52,50,7887,100
Garen,Brand,Morgana,Caitlyn,Thresh,Singed,Vi,Viktor,Jhin,Blitzcrank,47.32,53.97,50,48.52,48.49,880,200
Alistar,Ekko,Kaisa,Jhin,Nautilus,Teemo,JarvanIV,Annie,Jinx,Ashe,50,50.46,50,48.85,53.77,-3744,200
Kennen,Volibear,Akali,Jinx,Sona,Gragas,Belveth,Ekko,Senna,TahmKench,49.37,50,48.26,50,43.64,-5972,200
Jax,Briar,Karma,Jinx,Janna,Aatrox,MasterYi,Akali,MissFortune,Zyra,53.3,50.33,57.14,52.57,54.67,6807,100
Tryndamere,Briar,Anivia,Sivir,Morgana,Trundle,Viego,Akali,Kaisa,Zyra,54.84,47.87,48.56,50,43.75,-12394,200
Renekton,Rammus,Teemo,Lucian,Lulu,Riven,Shen,Ashe,Twitch,Zyra,51.25,50,50,48.53,52.61,-1942,200
Urgot,Brand,Malzahar,Ashe,Maokai,Ornn,LeeSin,Zed,Jinx,TahmKench,54.5,54.57,49.14,49.97,42.5,11683,100
Shen,Brand,Yone,Caitlyn,Morgana,Sett,Kayn,Tristana,Lucian,Thresh,47.61,49.25,48.95,52.08,48.94,13315,100
Gangplank,Shyvana,Syndra,Smolder,Ashe,Riven,Vi,Leblanc,KogMaw,Lulu,47.46,45.79,50,46.61,51.93,5943,100
Skarner,Zac,Lux,Jinx,Sion,Gnar,Sejuani,Anivia,Vayne,Pantheon,43.5,55.56,50.0,54.41,50,10361,100
Shen,Rengar,AurelionSol,Twitch,Leona,Urgot,Nidalee,Diana,Jinx,Maokai,52.17,46.49,48.96,49.78,54.51,452,100
Yorick,Nocturne,Katarina,Lucian,Thresh,Fiora,Zac,Naafiri,Jhin,Maokai,48.2,42.86,53.42,49.05,50.09,-130,200
Gangplank,Hecarim,TwistedFate,Caitlyn,Velkoz,Kayle,Amumu,Yone,MissFortune,Karma,46.11,45.7,60.26,50.76,49.19,-12645,200
Sett,FiddleSticks,Fizz,Ashe,Lux,Riven,LeeSin,Ahri,Kaisa,Braum,48.11,50,51.12,50,50.54,7680,100
Yorick,Evelynn,Fizz,Jhin,Lux,DrMundo,Udyr,Katarina,Jinx,Maokai,44.54,50.0,48.5,48.85,45.86,-5995,200
Renekton,Viego,Veigar,Caitlyn,Pantheon,Mordekaiser,Ivern,Akali,MissFortune,Amumu,47.8,48.78,52.16,50.76,50,-12072,200
Riven,Shyvana,Yasuo,Kaisa,Pyke,Shen,Nunu,Akali,Ezreal,Lux,55.33,56.14,50,53.43,52.42,7915,100
Jax,Skarner,Vex,MissFortune,Zyra,Kayle,Kindred,Yone,Jhin,Karma,50.12,46.96,60.32,48.43,48.09,13480,100
Garen,Lillia,Ekko,Jinx,Thresh,Kayle,Volibear,Xerath,Caitlyn,Lux,44.31,51.14,40.34,51.09,51.18,-12177,200
Poppy,Graves,Ahri,Jinx,Bard,Jax,Taliyah,Syndra,Samira,Nautilus,56.15,45.17,49.26,52.32,47.66,-17860,200
Trundle,Kindred,Lux,Aphelios,Pyke,Irelia,Kayn,Leblanc,Corki,Sona,50.97,60.09,50,46.5,49.57,-15980,200
Sett,Kindred,Fizz,Twitch,Lulu,Aatrox,Evelynn,Swain,MissFortune,Soraka,52.26,54.14,64.29,51.71,47.04,14036,100
Jayce,MasterYi,Leblanc,Draven,Twitch,Riven,Skarner,Malzahar,Ashe,Senna,45.02,49.11,46.83,46.13,31.25,13930,100
Yorick,LeeSin,Azir,Varus,Leona,Darius,Viego,Taliyah,Kaisa,Lulu,57.88,48.98,43.54,50,52.45,7361,100
Gnar,Ekko,Ryze,Jhin,Lulu,Aatrox,Viego,Malzahar,Varus,Skarner,49.41,53.46,51.54,54.28,45.38,-5851,200
Camille,Viego,Lux,Tristana,Xerath,TahmKench,Kayn,Morgana,MissFortune,Velkoz,53.66,48.52,50,53.78,50,8231,100
Chogath,Viego,Akali,Jinx,Renekton,Jax,Hecarim,Sylas,KogMaw,Lulu,50.0,50.28,49.08,52.24,50,-7439,200
TahmKench,Nocturne,Brand,Jinx,Braum,Ornn,Udyr,Kayle,Tristana,Morgana,51.13,43.48,47.44,52.58,50.15,-7722,200
Jax,Sylas,Diana,Lucian,Renata,Sion,Warwick,TwistedFate,Draven,Anivia,52.04,46.38,46.86,51.25,50,-8870,200
Urgot,Skarner,Nunu,Kaisa,Renata,Darius,Kayn,Zoe,Lucian,Leona,48.96,55.33,50,48.11,45.15,-13840,200
MissFortune,Karthus,Leblanc,Garen,Leona,Sett,Jax,Lux,KogMaw,Zyra,50,58.95,49.44,50,55.8,-10800,200
DrMundo,Brand,Viego,KogMaw,Sona,Sett,Shen,Talon,Samira,Leona,43.01,50,61.54,51.87,49.03,-6900,200
Skarner,Warwick,Azir,Sivir,Rell,Irelia,Nunu,Viktor,Jhin,Nami,55.63,55.0,45.77,50.29,52.42,-14973,200
Renekton,Nocturne,Anivia,Caitlyn,Urgot,Mordekaiser,Warwick,Veigar,Jinx,Yuumi,47.8,42.11,42.5,48.87,50,10876,100
Fiora,Mordekaiser,FiddleSticks,Veigar,Darius,Vayne,XinZhao,Yasuo,Jhin,Lux,52.63,50,50,48.28,50,14215,100
MonkeyKing,LeeSin,Brand,Jhin,Yuumi,Illaoi,MasterYi,Taliyah,Caitlyn,Leona,33.33,54.34,51.88,51.45,45.51,4119,100
Fiora,Lillia,Swain,Jinx,Pyke,Tryndamere,Amumu,Azir,Samira,Zyra,46.39,54.68,50.85,52.32,52.92,4441,100
Kennen,Vi,Zed,Jinx,Yuumi,Aatrox,Viego,Seraphine,Aphelios,Lulu,55.53,46.29,50,54.93,46.35,9519,100
Yorick,Warwick,Ahri,Ashe,Morgana,Shen,Volibear,Galio,Kalista,Nautilus,44.03,50.0,48.91,52.84,52.69,-8924,200
Darius,Trundle,Leblanc,Samira,Lux,Shaco,Viego,Syndra,Caitlyn,Karma,50,42.11,51.44,50.44,48.05,-5890,200
Sett,Brand,Ekko,Jhin,Rakan,Illaoi,Shen,Syndra,Caitlyn,Morgana,53.33,50,49.21,51.45,52.16,11411,100
Yorick,Shaco,Vladimir,Vayne,Karma,Malphite,Warwick,Yone,Ashe,Brand,53.1,54.8,50.23,47.64,54.24,658,100
Singed,Trundle,Ziggs,MissFortune,Nami,Malphite,Viego,AurelionSol,Lucian,Thresh,38.96,42.11,50,53.29,49.89,-2051,100
XinZhao,Shaco,Trundle,Ezreal,TahmKench,Mordekaiser,Khazix,Brand,Jhin,Leona,50,50,50,43.79,47.78,-3631,100
Gragas,Lillia,Viktor,Zeri,Ashe,Mordekaiser,Jax,Hwei,MissFortune,Maokai,52.41,51.54,51.18,52.73,41.98,12805,100
Garen,Viego,Ahri,Kaisa,Nautilus,Ornn,Graves,Zed,Lucian,Pyke,54.41,52.01,49.65,48.11,49.64,-12103,200
Yone,Shyvana,Twitch,Caitlyn,Morgana,Nasus,Warwick,Azir,Jinx,Zyra,48.06,42.0,50,48.87,43.75,6413,100
Darius,Zyra,Leblanc,Vladimir,Karma,Zac,Kindred,Hwei,MissFortune,Nami,48.64,61.76,50.09,50,49.54,12194,100
Darius,JarvanIV,Ahri,Jinx,Swain,Sylas,Ivern,Yasuo,MissFortune,Soraka,45.45,48.77,48.78,52.57,43.9,-15243,200
Zac,Evelynn,Malphite,Jhin,Nautilus,Mordekaiser,Karthus,Akshan,Cassiopeia,Leona,47.64,45.22,46.63,50,46.29,-21,100
Riven,XinZhao,Taliyah,MonkeyKing,Velkoz,Nasus,Viego,Ahri,Ashe,Zyra,55.33,50,47.86,50,49.14,12441,100
Quinn,Sejuani,Morgana,Caitlyn,Zyra,Teemo,JarvanIV,Yasuo,Ashe,Lux,37.11,41.56,50,48.87,47.12,-16063,200
Akshan,LeeSin,Yone,Chogath,Ashe,Nasus,Jax,Irelia,Heimerdinger,Zyra,54.9,45.51,45.67,50,49.0,-14419,200
Brand,MasterYi,Ahri,Jhin,Milio,Renekton,Gragas,Draven,Kaisa,Sona,34.21,50.67,50,50,47.49,9384,100
Garen,LeeSin,Orianna,Lucian,Lux,Galio,Belveth,Irelia,Jinx,Seraphine,50,50,46.22,47.44,49.89,-4829,200
Sion,MasterYi,Karma,Yasuo,Leona,RekSai,JarvanIV,Orianna,Kaisa,Janna,50,40.21,36.59,50,50.25,-10597,200
Teemo,Nocturne,TwistedFate,Jhin,Sona,Sion,Kindred,Orianna,Caitlyn,Lulu,44.09,50.59,52.67,51.45,54.75,-15157,200
Gwen,Warwick,Yone,MissFortune,Brand,Garen,Udyr,Fizz,Senna,Morgana,50.79,52.13,50.42,50,58.43,11173,100
Illaoi,Volibear,Vladimir,Nilah,Nautilus,Vayne,Amumu,Naafiri,Ashe,Morgana,40.44,48.18,50,47.44,47.31,-9540,200
Riven,Vi,Ahri,Kaisa,Senna,Sett,Kayn,Hwei,Smolder,Seraphine,51.9,50.11,50.22,55.15,44.38,-9590,200
Malphite,MasterYi,Zed,Smolder,Morgana,Rumble,Nocturne,Tristana,Caitlyn,Leblanc,50.64,45.6,51.36,42.73,50,-11186,200
Ornn,MasterYi,Yasuo,Karthus,Soraka,Sett,Rammus,Veigar,Samira,Morgana,47.79,44.81,50,52.46,51.69,-6331,200
Jax,MonkeyKing,Lux,MissFortune,Brand,Trundle,Amumu,Malzahar,Samira,Janna,59.62,43.04,52.65,49.66,44.17,10553,100
Gnar,MasterYi,Taliyah,Twitch,Brand,Yorick,Nocturne,Ekko,Lucian,Yuumi,45.1,45.6,47.03,51.47,50.87,-10799,200
Gnar,Skarner,Teemo,Jinx,Janna,Volibear,Shaco,Sylas,Caitlyn,Velkoz,53.13,52.05,50,51.09,50,8176,100
Garen,XinZhao,Kaisa,Katarina,Pyke,Volibear,Evelynn,Ahri,Jinx,Swain,52.1,50,39.53,44.12,50.29,16793,100
Aatrox,Diana,Yasuo,Kaisa,Zyra,Ornn,Kindred,Hwei,Varus,Morgana,50.26,48.87,50,52.28,56.25,-1834,200
Rumble,Viego,Zed,Nilah,Zyra,Maokai,Khazix,Smolder,Twitch,Brand,50,50,50,52.96,49.13,8950,100
