T1C1,T1C2,T1C3,T1C4,T1C5,T2C1,T2C2,T2C3,T2C4,T2C5,W1,W2,W3,W4,W5,GD,WL
Illaoi,Khazix,Vladimir,Twitch,Nautilus,TahmKench,Vi,Katarina,Ashe,Milio,44.44,53.8,52.0,52.28,51.93,-2633,200
Nasus,XinZhao,Malzahar,Jinx,Yuumi,Hwei,Rammus,Naafiri,Varus,Teemo,50,50,41.51,54.57,50,10696,100
Trundle,Rengar,Brand,Ashe,Lulu,Kaisa,Zac,Irelia,Jinx,Leona,50,49.12,55.07,49.97,47.55,-5324,200
Renekton,JarvanIV,Akshan,MissFortune,Hwei,MonkeyKing,Rammus,Fizz,Zeri,Janna,56.0,50.36,58.99,47.27,46.53,-1823,200
DrMundo,Sejuani,Qiyana,MissFortune,Hwei,Nasus,Viego,Tristana,Karthus,Soraka,51.65,49.39,56.11,47.27,50.24,-7775,200
Yorick,Vi,AurelionSol,Smolder,Leona,Garen,Ivern,Azir,Senna,Thresh,44.0,49.78,56.98,50,51.48,-2091,100
Rumble,Brand,Irelia,Draven,Hwei,Sett,Evelynn,Azir,MissFortune,Karma,50.14,51.9,57.59,45.52,43.2,-61,200
Sett,Karthus,Azir,Jinx,Poppy,Heimerdinger,Kayn,Vex,Syndra,Morgana,51.9,49.56,44.36,50,54.17,6241,100
Trundle,LeeSin,Taliyah,Jhin,Xerath,Yone,Viego,Fizz,Veigar,Neeko,54.37,48.98,49.08,50,56.16,-7809,200
Trundle,Briar,Kassadin,Ashe,Karma,Teemo,Evelynn,Lux,Zeri,Zilean,52.83,53.08,49.21,54.32,42.28,-8111,200
Chogath,Warwick,Viktor,Vayne,Zyra,Illaoi,Skarner,Vex,Smolder,Thresh,42.47,47.06,52.34,52.81,49.84,7061,100
Shen,Viego,Ekko,Smolder,Camille,Kled,Briar,Anivia,Aphelios,Illaoi,45.67,52.11,40.28,46.76,50,-9301,200
Malphite,Rengar,Galio,Ezreal,Teemo,Zac,Volibear,Tristana,Jinx,Senna,48.18,48.39,50.48,45.43,50,7048,100
Taric,Lillia,AurelionSol,Aphelios,Diana,Singed,Nidalee,Syndra,MissFortune,Nautilus,50,45.94,48.98,48.19,50,-2903,100
TwistedFate,Vi,Malzahar,Ashe,Bard,TahmKench,Brand,AurelionSol,Ezreal,Sett,46.94,45.82,47.69,57.91,50,-12920,200
Gangplank,Kayn,Leblanc,Jinx,Karma,Riven,Rengar,AurelionSol,TwistedFate,Maokai,47.46,52.08,44.76,50,45.12,19,100
Camille,Sejuani,AurelionSol,Samira,Nautilus,Riven,Udyr,Ahri,Brand,Sona,51.84,51.11,45.92,49.27,53.29,9581,100
Gangplank,Nocturne,Sylas,Kaisa,Brand,Kennen,LeeSin,Kayn,Ezreal,Ashe,41.49,51.16,50,53.43,48.13,-12857,200
Vayne,Rammus,Zed,Caitlyn,Lux,Nasus,JarvanIV,Vex,Jinx,Soraka,49.0,49.64,47.59,48.87,46.76,-6067,200
Volibear,Nocturne,Veigar,Twitch,Senna,Urgot,Shyvana,Hwei,Zeri,Lux,42.37,47.5,49.92,53.58,49.4,1757,100
Illaoi,Volibear,Veigar,MissFortune,Morgana,Garen,Kayn,Malzahar,Jinx,Blitzcrank,47.21,54.7,51.5,47.43,47.93,-6934,200
Gragas,Kayn,Vex,Caitlyn,Seraphine,Ornn,Poppy,Katarina,Vayne,Milio,54.17,54.09,53.7,54.16,48.28,-4719,200
Olaf,Belveth,Veigar,Draven,Heimerdinger,Kennen,Pantheon,Akali,Jhin,Shen,45.1,50,52.16,46.21,50,-10117,200
Rumble,Kayn,Shen,Ashe,Hwei,Garen,RekSai,Chogath,Ezreal,Morgana,54.91,46.99,50,57.91,44.12,7251,100
Jax,Maokai,Sylas,Draven,Zilean,Teemo,Lillia,Katarina,Ashe,Lulu,47.83,50.0,49.38,46.13,50,-16211,200
Urgot,FiddleSticks,Kassadin,Jinx,Rell,Sion,Brand,Vex,Hwei,Thresh,47.65,50,47.97,50,51.8,9726,100
Senna,Jax,Zed,Ezreal,Lux,Chogath,Kayn,Malphite,Tristana,Sona,50,51.02,46.88,44.44,48.81,8816,100
Trundle,Warwick,Malzahar,Lucian,JarvanIV,Chogath,MasterYi,AurelionSol,Twitch,Nautilus,50,50.45,47.69,48.53,36.54,-5422,200
Pantheon,Shaco,Leblanc,Twitch,Lulu,Smolder,Gragas,Brand,Jhin,Zilean,50,47.6,51.13,50.17,49.16,14195,100
Rumble,Viego,Zed,Caitlyn,Soraka,Teemo,Rengar,Diana,Jhin,Rell,51.35,49.69,47.78,48.52,49.34,-10732,200
Darius,Karthus,Viktor,MissFortune,Braum,Skarner,Zyra,AurelionSol,Ezreal,Nami,49.77,50,52.5,51.88,49.21,-1381,100
Jayce,Khazix,Lux,Varus,Leona,Garen,Ekko,Kassadin,Vayne,Sona,49.07,50.56,50.79,52.0,50.97,-6419,200
Olaf,MasterYi,Hwei,Samira,Blitzcrank,Quinn,MonkeyKing,Malzahar,Vayne,Lulu,50,42.86,53.97,53.0,54.05,-30,100
Garen,Briar,Sett,Smolder,Lux,Aatrox,Taliyah,Ekko,Sivir,Morgana,52.31,41.54,50,39.13,53.6,-16538,200
Illaoi,Amumu,Yasuo,Kaisa,Velkoz,Teemo,Viego,Vex,Jinx,Leona,41.82,54.09,50,46.28,48.88,-8435,200
Yorick,XinZhao,AurelionSol,Kaisa,Hwei,Chogath,LeeSin,Swain,Caitlyn,Yuumi,50,50,50.0,48.66,48.04,-11566,200
Yone,Poppy,Viktor,Caitlyn,Morgana,Aatrox,Karthus,Swain,Lucian,Alistar,48.78,43.24,53.16,52.08,45.92,-5264,200
Darius,Warwick,Ahri,Caitlyn,Brand,Veigar,Nocturne,AurelionSol,Ashe,Senna,50,57.89,54.08,48.87,48.6,5945,100
Mordekaiser,MasterYi,Ahri,Xayah,Rakan,Camille,Graves,Swain,Jinx,Zyra,51.25,46.87,47.95,46.89,47.63,8910,100
Chogath,JarvanIV,Diana,Vayne,Lux,Yone,Nocturne,Orianna,Nilah,Sona,39.73,56.57,52.43,52.41,48.81,-8310,200
KSante,XinZhao,Ahri,Soraka,JarvanIV,Fiora,Sejuani,Sion,Twitch,Yuumi,40.44,50,50,50,50,9221,100
Vladimir,Kayn,Taliyah,Ezreal,Pyke,Sett,Nocturne,Ahri,KogMaw,Nami,46.67,51.16,47.86,49.68,48.87,17285,100
Rumble,LeeSin,Ahri,Ashe,Thresh,Nasus,Viego,Cassiopeia,Caitlyn,Lux,50.62,48.98,46.68,51.28,51.18,2576,100
Vayne,Brand,Veigar,Jinx,Nami,Teemo,Viego,Malzahar,Caitlyn,Senna,47.31,50.0,51.5,51.09,52.38,-17847,200
Darius,Ivern,Fizz,Vayne,Lulu,Sion,Shaco,Brand,MissFortune,Janna,53.04,47.54,50.55,46.9,49.54,5747,100
Volibear,Kayn,Tryndamere,Sivir,Malzahar,Yorick,Nidalee,Ahri,Vayne,Seraphine,57.28,43.68,47.06,52.11,50,8631,100
Trundle,Lillia,Yone,Jhin,Morgana,Renekton,XinZhao,Corki,Caitlyn,Neeko,43.26,49.3,49.24,51.45,47.71,4550,100
Ornn,Khazix,Taliyah,Lucian,Maokai,Garen,MasterYi,Ziggs,Vayne,Leona,45.59,50.23,55.36,53.1,45.49,7324,100
TahmKench,Viego,Corki,Sivir,Malphite,Renekton,Diana,Irelia,Jinx,Nautilus,52.11,53.49,40.84,47.81,45.24,22,200
Mordekaiser,Graves,Anivia,Kaisa,Ashe,Ornn,Ekko,Hwei,Senna,Swain,54.6,50.64,48.37,50,55.88,-10202,200
